class,precision,recall,f1-score,support
0,0.6903413190936644,0.8632497913329874,0.7671735447720051,44329.0
1,0.2796448953709575,0.168,0.20990004759638267,2625.0
2,0.5315568022440392,0.3486660533578657,0.4211111111111111,4348.0
3,0.870352089503126,0.6149017784493781,0.7206593556297255,8603.0
4,0.4068522483940043,0.7480314960629921,0.5270457697642164,254.0
5,0.4145913329676358,0.2459966150240854,0.30877967071128,15362.0
accuracy,0.6552217264072244,0.6552217264072244,0.6552217264072244,0.6552217264072244
macro avg,0.5322231145955713,0.49814095570455147,0.4924449165974534,75521.0
weighted avg,0.6303855710960553,0.6552217264072244,0.6285296826805679,75521.0
